Kind,ICAO,FAA,IATA,City,Name,Latitude,Longitude,Max Runway,Airlines
Small,YUSL,,USL,,Useless Loop Airport,-26.167(S),113.400(E),,
Small,YGAR,,,,Gnaraloo Station Airport,-23.792(S),113.529(E),,
Small,,,,,Abrolhos North Island,-28.300(S),113.596(E),,
Small,,,,,Abrolhos Island,-28.475(S),113.689(E),,
Small,YTML,,,,Tamala Airport,-26.667(S),113.733(E),,
Small,YCOY,,,,Coral Bay Airport,-23.130(S),113.777(E),,
Small,YRAT,,,,Abrolhos Rat Island,-28.720(S),113.784(E),,
Small,,,,,Yardie Homestead,-21.884(S),114.007(E),,
Small,YEXM,,EXM,,Exmouth Airport,-22.033(S),114.100(E),,
Small,YGIR,,,,Giralia Airport,-22.683(S),114.367(E),,
Small,YWPL,,,,Winning Pool North Airport,-23.100(S),114.533(E),,
Small,YBLB,,,,Billabong Road House Airport,-26.817(S),114.617(E),,
Small,YNHP,,,,Northampton Airport,-28.350(S),114.683(E),,
Small,YMIX,,,,Middalya Homestead Airport,-23.900(S),114.767(E),,
Small,YYNR,,,,Yanrey Airport,-22.517(S),114.800(E),,
Small,YDRA,,DOX,,Dongara Airport,-29.300(S),114.933(E),,
Small,YBDX,,,,Barradale Airport,-22.863(S),114.963(E),,
Small,YLEA,,,,Leeman Airport,-29.983(S),114.983(E),,
Small,YTHV,,,,Thevenard Island Airport,-21.467(S),115.000(E),,
Small,YNYG,,,,Nyang Airport,-23.033(S),115.033(E),,
Small,YJNB,,JUR,,Jurien Bay Airport,-30.300(S),115.033(E),,
Small,YMDR,,,,Minderoo Station Airport,-22.000(S),115.050(E),,
Small,YLUW,,,,Leeuwin Estate Airport,-34.021(S),115.064(E),,
Small,YCVS,,,,Cervantes Airport,-30.483(S),115.083(E),,
Small,YBUC,,,,Butch Airport,-33.833(S),115.100(E),,
Small,YMGT,,MQZ,,MARGARET RIVER,-33.931(S),115.100(E),3619 ft,
Small,YOLW,,ONS,,Onslow Airport,-21.668(S),115.113(E),,1
Small,YAUG,,,,Augusta Airport,-34.367(S),115.150(E),,
Small,YWMY,,,,Williambury Airport,-23.867(S),115.150(E),,
Small,,,,,Nambung Station Private Airstrip,-30.578(S),115.225(E),,
Small,YLYN,,,,Lyndon Airport,-23.633(S),115.233(E),,
Small,YBLN,,BQB,,BUSSELTON,-33.693(S),115.395(E),5906 ft,1
Small,YBWX,,BWB,,BARROW ISLAND,-20.864(S),115.406(E),6234 ft,1
Small,YMEW,,,,Mingenew Airport,-29.267(S),115.450(E),,
Small,YNNT,,,,Nantarra Airport,-22.533(S),115.500(E),,
Small,YMWA,,MXU,,Mullewa Airport,-28.475(S),115.517(E),,
Small,YYLG,,,,Yallalong Homestead Airport,-27.426(S),115.518(E),,
Medium,YRTI,,RTS,,ROTTNEST ISLAND,-32.007(S),115.540(E),4242 ft,
Small,YEUD,,,,Eudamulla Station Airport,-24.450(S),115.600(E),,
Small,,,,,Between Lakes Private Airstrip,-32.850(S),115.640(E),,
Small,YBUN,,BUY,,BUNBURY,-33.378(S),115.677(E),3330 ft,
Small,YGAD,,,,Garden Island (Military) Airport,-32.242(S),115.683(E),,
Small,,,,,Preston Field - Blair Howe,-33.019(S),115.701(E),,
Small,,,,,Unknown Farm Strip,-33.095(S),115.717(E),,
Small,YNAU,,,,Nannup Airport,-34.033(S),115.733(E),,
Small,,,,,Wheeler Field,-32.787(S),115.789(E),,
Small,,,,,Midway,-32.673(S),115.790(E),,
Small,,,,,Tardun Christian Brothers airfield,-28.709(S),115.818(E),,
Small,YBBL,,,,Billabalong Airport,-27.417(S),115.833(E),,
Small,YMUL,,,,MURRAY FIELD,-32.508(S),115.842(E),3750 ft,
Small,YTHS,,,,Three Springs Airport,-29.528(S),115.858(E),,
Small,YGIG,,,,GINGIN,-31.465(S),115.863(E),5997 ft,
Small,YDRC,,,,Dairy Creek Homestead Airport,-25.283(S),115.867(E),,
Small,YSEN,,,,Serpentine Airport,-32.395(S),115.871(E),,
Small,YCNH,,,,Carnarmah Airport,-29.683(S),115.883(E),,
Small,,,,,Wheeler Drome,-32.787(S),115.910(E),,
Small,YMDZ,,,,Mardi Station Airport,-21.200(S),115.983(E),,
Small,YMSS,,,,Murchison Shire Airport,-26.917(S),115.983(E),,
Small,YMRW,,MWB,,Morawa Airport,-29.202(S),116.022(E),,
Small,,,,,Yuin Station,-27.983(S),116.033(E),,
Small,YRHL,,,,Red Hill Station Airport,-21.967(S),116.067(E),,
Small,YEDM,,,,Edmund Station Airport,-23.750(S),116.100(E),,
Small,YFCU,,,,Fortescue River Airport,-21.300(S),116.133(E),,
Small,YMJM,,MJP,,MANJIMUP,-34.265(S),116.140(E),4016 ft,
Small,YWEE,,,,Wooleen Homestead Airport,-27.082(S),116.150(E),,
Small,,,,,Northcliffe Airstrips (needs confirmation),-34.659(S),116.152(E),,
Small,YBOO,,,,Catholic Agricultural College Bindoon Airstrip,-31.340(S),116.188(E),,
Small,YDGT,,,,Dalgety Downs Station Airport,-25.283(S),116.200(E),,
Small,YGIF,,,,Gifford Creek Station Airport,-24.050(S),116.217(E),,
Small,,,,,New Norcia North,-30.921(S),116.240(E),,
Closed,,,,,Avon Valley NP Airstrip,-31.606(S),116.261(E),,
Small,YPJI,,,,Perenjori Airport,-29.433(S),116.283(E),,
Small,YGUL,,,,Gullewa Airport,-28.633(S),116.283(E),,
Small,YPIX,,,,Pia Airport,-27.192(S),116.292(E),,
Small,YPNW,,,,Pannawonica Airport,-21.617(S),116.317(E),,
Small,YMGO,,,,Murgoo Airport,-27.367(S),116.417(E),,
Small,YBOP,,,,Boyup Brook Airport,-33.900(S),116.467(E),,
Small,YSHN,,,,Shannon River Airport,-34.750(S),116.483(E),,
Small,YDVE,,,,Dale River Airport,-32.283(S),116.550(E),,
Small,YMNF,,,,Manfred Airport,-26.450(S),116.550(E),,
Small,YDWU,,,,Dalwallinu Airport,-30.200(S),116.650(E),,
Small,YERO,,,,Erong Station Airport,-25.567(S),116.667(E),,
Small,YNTM,,,,Northam Airport,-31.630(S),116.683(E),,
Small,YWPE,,,,Walpole Airport,-34.950(S),116.700(E),,
Small,YWOH,,,,Wongan Hills Airport,-30.867(S),116.733(E),,
Small,YBIU,,,,Ballidu Airport,-30.593(S),116.780(E),,
Small,YBLD,,,,Brooklands Airport,-31.825(S),116.796(E),,
Small,YYRK,,,,York Airport,-31.855(S),116.799(E),,
Small,YHLM,,,,Hillman Farm Airport,-33.264(S),116.815(E),,
Small,YROT,,,,Rothsay Mine Airport,-29.292(S),116.867(E),,
Small,YGOM,,,,Goomalling Airport,-31.367(S),116.883(E),,
Small,YLDO,,,,Landor Station Airport,-25.100(S),116.900(E),,
Small,YMAU,,,,Mount Augusta Airport,-24.300(S),116.917(E),,
Small,YMJE,,,,Mount James Airport,-24.617(S),116.933(E),,
Small,YBEV,,,,Beverley Airport,-32.133(S),116.950(E),,
Small,YGGE,,,,Golden Grove Airport,-28.750(S),116.950(E),,
Small,YLNR,,,,Landor Races Airport,-24.950(S),116.967(E),,
Small,YDGR,,,,Dalgaranga Airport,-27.791(S),116.993(E),,
Small,YAHD,,,,Ashburton Downs Airport,-23.383(S),117.033(E),,
Small,YDON,,,,Dowerin Airport,-31.183(S),117.050(E),,
Small,YPIY,,,,Pingelly Airport,-32.540(S),117.073(E),,
Small,YKOJ,,,,Kojonup Airport,-33.767(S),117.133(E),,
Small,YKAE,,,,Kalannie Airport,-30.367(S),117.133(E),,
Small,YERA,,,,Errabiddy Homestead Airport,-25.500(S),117.167(E),,
Small,YCUN,,,,CUNDERDIN,-31.622(S),117.217(E),6089 ft,
Small,YBGD,,OCM,,Boolgeeda,-22.540(S),117.275(E),,1
Small,YDGA,,DGD,,Dalgaranga Gold Mine Airport,-27.830(S),117.316(E),,
Small,YMUX,,,,Mileura Airport,-26.367(S),117.333(E),,
Small,YWGN,,,,Wagin Airport,-33.333(S),117.367(E),,
Small,YWAB,,,,Waldburg Homestead Airport,-24.750(S),117.367(E),,
Small,YQDG,,,,Quairading Airport,-32.000(S),117.400(E),,
Small,YRLE,,,,Rocklea Airport,-22.883(S),117.450(E),,
Small,YCRN,,,,Cranbrook Airport,-34.283(S),117.550(E),,
Small,YMCE,,,,Mount Clere Homestead Airport,-25.100(S),117.583(E),,
Small,YKNG,,KNI,,Katanning Airport,-33.717(S),117.633(E),,
Small,YPYF,,,,Paynes Find Airport,-29.250(S),117.667(E),,
Small,YKEB,,,,Kellerberrin Airport,-31.667(S),117.733(E),,
Small,YDUM,,,,Dumbleyung Airport,-33.333(S),117.750(E),,
Small,,,SLJ,,Solomon Aerodrome,-22.255(S),117.763(E),,
Small,YKNM,,,,Koonmarra Airport,-26.283(S),117.783(E),,
Small,YCIG,,,,Corrigin Airport,-32.333(S),117.817(E),,
Medium,YMOG,,MMG,,MOUNT MAGNET,-28.116(S),117.842(E),5906 ft,2
Small,YBCB,,,,Bencubbin Airport,-30.833(S),117.867(E),,
Small,YBEC,,,,Beacon Airport,-30.483(S),117.883(E),,
Small,YKNP,,,,Kununoppin Airport,-31.133(S),117.900(E),,
Small,YCUE,,CUY,,Cue Airport,-27.447(S),117.918(E),,
Small,YYRW,,,,Yarlarweelor Airport,-25.458(S),117.975(E),,
Small,YELE,,,,Belele Airport,-26.367(S),118.017(E),,
Small,YGNW,,,,Gnowangerup Airport,-33.983(S),118.033(E),,
Small,YMLA,,,,Malina Airport,-20.883(S),118.033(E),,
Small,YMDB,,,,Mundabullangana Airport,-20.517(S),118.067(E),,
Small,YBRO,,,,Bruce Rock Airport,-31.883(S),118.117(E),,
Small,YTUC,,,,Tuckabiana Airport,-27.475(S),118.125(E),,
Small,,,,,Kulin Airport,-32.672(S),118.169(E),,
Small,,,,,Stirling Range Retreat,-34.312(S),118.186(E),,
Small,,,,,Lily Dutch Windmill Airstrip,-34.225(S),118.216(E),,
Small,YMVR,,,,Mount Vernon Station Airport,-24.233(S),118.233(E),,
Small,YMKB,,,,Mukinbudin Airport,-30.933(S),118.250(E),,
Small,YRDY,,,,Reedys Airport,-27.132(S),118.280(E),,
Small,YKDN,,,,Kondinin Airport,-32.467(S),118.283(E),,
Small,YMDN,,,,Merredin Airport,-31.505(S),118.323(E),,
Small,YMIL,,,,Milgun Airport,-25.083(S),118.333(E),,
Small,YWIT,,WIT,,Wittenoom Airport,-22.218(S),118.348(E),,
Small,YFOR,,,,Fortnum Airport,-25.333(S),118.367(E),,
Small,YLGC,,,,Lake Grace Airport,-33.133(S),118.400(E),,
Small,YNRB,,,,Narembeen Airport,-32.117(S),118.417(E),,
Small,YLGA,,,,Mulga Downs Airport,-22.107(S),118.471(E),,
Medium,YMEK,,MKR,,MEEKATHARRA,-26.612(S),118.548(E),7156 ft,2
Small,YHSL,,,,Horseshoe Lights Airport,-25.350(S),118.617(E),,
Small,YTRK,,,,Turee Creek Airport,-23.617(S),118.617(E),,
Small,YWSX,,,,Westonia Airport,-31.333(S),118.667(E),,
Small,YMUJ,,,,Munjina Airport,-22.366(S),118.681(E),,
Small,YPLL,,,,Peak Hill Airport,-25.600(S),118.683(E),,
Small,YWDC,,,,Wodgina Airport,-21.142(S),118.692(E),,
Small,YANG,,WLP,,West Angelas Airport,-23.136(S),118.707(E),,
Small,YBYA,,,,Bryah Airport,-25.533(S),118.733(E),,
Small,YOUN,,,,Youanmi Airport,-28.615(S),118.842(E),,
Small,YHYD,,,,Hyden Airport,-32.433(S),118.867(E),,
Small,YYDE,,,,Yandee Airport,-21.333(S),118.867(E),,
Small,YJGP,,,,Jerramungup Airport,-33.900(S),118.900(E),,
Small,YWRC,,,,Wave Rock Airport,-32.427(S),118.908(E),,
Small,YNDG,,,,Newdegate Airport,-33.117(S),119.000(E),,
Small,YRDM,,,,Redmont Airport,-21.967(S),119.017(E),,
Small,YYUM,,,,Yuinmery Airport,-28.563(S),119.019(E),,
Small,YTHR,,,,Three Rivers Homestead Airport,-25.133(S),119.117(E),,
Small,YBRY,,BYP,,BARIMUNYA,-22.674(S),119.166(E),6168 ft,
Small,YGPI,,,,Giles Point Airport,-23.267(S),119.167(E),,
Small,YDGY,,,,De Grey Homestead Airport,-20.175(S),119.169(E),,
Closed,YYCN,,,,Yandicoogina Airport,-22.760(S),119.227(E),,
Small,YATY,,,,Atley Airport,-28.217(S),119.250(E),,
Small,YDMF,,,,Diemal Find Airport,-29.667(S),119.283(E),,
Small,YRRG,,,,Rhodes Ridge Airport,-23.108(S),119.333(E),,
Small,YSCR,,SQC,,Southern Cross Airport,-31.240(S),119.360(E),,
Small,YGID,,,,Gidgee Airport,-27.270(S),119.405(E),,
Small,YPLU,,,,Plutonic Airport,-25.333(S),119.425(E),,
Small,YLVY,,,,Lake Varley Airport,-32.708(S),119.513(E),,
Small,YKBG,,,,Koolyanobbing Range Airport,-30.841(S),119.529(E),,
Small,YMVH,,,,Marvel Loch Airport,-31.467(S),119.533(E),,
Small,YBUO,,,,Bulloo Downs Station Airport,-24.017(S),119.567(E),,
Small,YSAH,,,,Sandhill Airport,-22.800(S),119.617(E),,
Small,YCOG,,,,Coongan Airport,-20.683(S),119.667(E),,
Small,YFTA,,,,Forrestania Airport,-32.580(S),119.703(E),,
Small,YBUG,,,,Bulga Downs Station Airport,-28.500(S),119.733(E),,
Small,YMYI,,,,Marymia Airport,-25.093(S),119.755(E),,
Small,YLKG,,,,Lake King Airport,-33.079(S),119.766(E),,
Small,YMHL,,,,Mount Holland Airport,-32.118(S),119.768(E),,
Small,YDME,,,,Mount Dimer Airport,-30.402(S),119.830(E),,
Small,YMBL,,MBB,,Marble Bar Airport,-21.163(S),119.833(E),,
Small,YBYD,,,,Bonney Downs Station Airport,-22.267(S),119.883(E),,
Small,YBOY,,,,Booylgoo Springs Airport,-27.750(S),119.900(E),,
Small,YRAV,,,,Ravensthorpe Airport,-33.528(S),119.953(E),,
Small,YRYH,,RHL,,Roy Hill Station Airport,-22.626(S),119.959(E),,
Small,YCPG,,,,Coppins Gap Airport,-20.950(S),120.033(E),,
Small,YSLV,,,,Sylvania Homestead Airport,-23.558(S),120.047(E),,
Small,YDPS,,,,Depot Springs Airport,-27.883(S),120.083(E),,
Small,YHPE,,,,Hopetoun Airport,-33.900(S),120.158(E),,
Small,YNUL,,NLL,,Nullagine Airport,-21.913(S),120.198(E),,
Small,YNRV,,RVT,,RAVENSTHORPE,-33.797(S),120.208(E),5512 ft,
Medium,YWLU,,WUN,,WILUNA,-26.629(S),120.221(E),5942 ft,1
Small,YABS,,,,Albion Downs Airport,-27.283(S),120.383(E),,
Small,YPCS,,,,Pinnacles Homestead Airport,-28.200(S),120.433(E),,
Small,YLWY,,,,Lake Way Airport,-26.945(S),120.470(E),,
Small,YLAW,,,,Lawlers Airport,-28.083(S),120.500(E),,
Medium,YMNE,,WME,,MOUNT KEITH,-27.286(S),120.555(E),5896 ft,1
Small,YJUN,,,,Jundee Airport,-26.422(S),120.577(E),,
Small,YCAI,,,,Callion Airport,-30.117(S),120.583(E),,
Small,YBLU,,,,Bellevue Airport,-27.615(S),120.612(E),,
Medium,YLST,,LER,,LEINSTER,-27.843(S),120.703(E),5906 ft,2
Small,YJIG,,,,Jiggalong Mission Airport,-23.367(S),120.783(E),,
Small,YMCU,,,,Mount Mcclure Airport,-27.470(S),120.917(E),,
Small,YMIS,,,,Millrose Homestead Airport,-26.400(S),120.950(E),,
Small,YMZI,,,,Menzies Airport,-29.667(S),121.017(E),,
Small,YLOC,,,,Lochinvar Airport,-20.758(S),121.017(E),,
Small,YBWG,,,,BRONZEWING,-27.366(S),121.036(E),6692 ft,
Small,YCLG,,,,Coolgardie Airport,-30.950(S),121.150(E),,
Small,YSFI,,,,Sandfire Airport,-19.767(S),121.167(E),,
Small,YDLO,,,,Darlot Airport,-27.883(S),121.267(E),,
Small,YJEY,,,,Jeedamya Airport,-29.400(S),121.267(E),,
Small,YMRS,,,,Melrose Airport,-27.933(S),121.300(E),,
Small,YWNO,,,,Wonganoo Airport,-27.125(S),121.333(E),,
Small,YORW,,,,Orient Well Airport,-29.199(S),121.438(E),,
Small,YKOK,,,,Kookynie Airport,-29.350(S),121.483(E),,
Small,YAPA,,,,Anna Plains Airport,-19.267(S),121.517(E),,
Small,YLRG,,,,Lorna Glen Homestead Airport,-26.217(S),121.550(E),,
Small,YERH,,,,Earaheedy Airport,-25.600(S),121.583(E),,
Small,YCNF,,NIF,,Camp Nifty Airport,-21.672(S),121.587(E),,
Small,YBJW,,,,Banjawarn Airport,-27.667(S),121.600(E),,
Small,YNSM,,NSM,,Norseman Airport,-32.210(S),121.755(E),,
Small,YMLX,,,,Milurie Homestead Airport,-27.583(S),121.783(E),,
Small,YMNX,,,,Minura Airport,-28.883(S),121.800(E),,
Small,YLGB,,,,La Grange Bay Airport,-18.683(S),121.808(E),,
Small,YYER,,,,Yerilla Airport,-29.468(S),121.830(E),,
Small,YMMI,,WUI,,MURRIN MURRIN,-28.705(S),121.891(E),6562 ft,
Small,,,,,Myrup fly in estate Airport,-33.794(S),121.958(E),,
Small,YWGW,,,,Wongawol Airport,-26.133(S),121.967(E),,
Small,YYDM,,,,Yundamindera Airport,-29.117(S),122.033(E),,
Small,YMGS,,,,Mount Morgans Airport,-28.787(S),122.034(E),,
Small,YGLY,,,,Glenayle Homestead Airport,-25.283(S),122.050(E),,
Small,YTCF,,,,Tracies Field,-22.317(S),122.067(E),,
Small,YRUD,,,,Rudal River Airport,-22.550(S),122.150(E),,
Medium,YTEF,,TEF,,TELFER,-21.715(S),122.229(E),6562 ft,1
Small,YWDA,,WND,,Windarra Airport,-28.475(S),122.242(E),,
Small,YPOP,,,,Porphyry Airport,-29.778(S),122.268(E),,
Small,YDUK,,,,Duketon Airport,-27.958(S),122.308(E),,
Small,YLTN,,LVO,,LAVERTON,-28.614(S),122.424(E),5906 ft,1
Small,YMNW,,,,Mount Weld Airport,-28.772(S),122.440(E),,
Small,YSRD,,,,Sunrise Dam Airport,-29.102(S),122.450(E),,
Small,YCTC,,,,Cotten Creek Airport,-22.800(S),122.583(E),,
Small,YPNI,,,,Prenti Downs Airport,-26.517(S),122.800(E),,
Small,YCOS,,,,Cosmo Newberry Airport,-27.985(S),122.903(E),,
Small,YLBD,,,,Lombadina Airport,-16.517(S),122.917(E),,
Small,YCLQ,,,,Cape Leveque Airport,-16.398(S),122.932(E),,
Small,YORL,,,,Orleans Farm Airport,-33.783(S),122.950(E),,
Small,YCGI,,,,Carnegie Station Airport,-25.800(S),122.967(E),,
Small,YOAP,,,,One Arm Point Airport,-16.433(S),123.050(E),,
Small,YCNN,,,,Coonana Airport,-31.017(S),123.167(E),,
Small,YPUN,,,,Punmu Airport,-22.067(S),123.167(E),,
Small,YBWS,,,,Browse Is Airport,-14.112(S),123.547(E),,
Small,YZAN,,,,Zanthus Airport,-31.033(S),123.567(E),,
Small,YCTI,,,,Cockatoo Island Airport,-16.083(S),123.617(E),,
Small,YBAL,,,,Balladonia Airport,-32.350(S),123.618(E),,
Medium,YDBY,,DRB,,DERBY,-17.370(S),123.661(E),5696 ft,1
Small,YNON,,,,Noondoonia Homestead Airport,-32.283(S),123.667(E),,
Small,YYRN,,,,Yamarna Airport,-28.154(S),123.673(E),,
Medium,YCIN,,DCN,,CURTIN,-17.581(S),123.828(E),10003 ft,1
Small,YWOX,,,,Woorlba Airport,-32.400(S),124.033(E),,
Small,,,,,Tjukayirla Roadhouse Airstrip,-27.155(S),124.585(E),,
Small,YWEX,,,,Well 33 Airport,-22.367(S),124.767(E),,
Small,YNPD,,,,Napier Downs Airport,-17.317(S),124.850(E),,
Small,YKAN,,,,Kanandah Airport,-30.895(S),124.862(E),,
Small,YMHT,,,,Mount Hart Station Airport,-16.820(S),124.908(E),,
Small,YWDJ,,,,Windjana Grove Airport,-17.421(S),124.925(E),,
Small,YDPT,,,,Depot Outcamp Airport,-31.572(S),125.187(E),,
Small,YRWA,,,,Rawlinna Station Airport,-31.025(S),125.191(E),,
Small,YSLG,,,,Silent Grove Airport,-17.067(S),125.250(E),,
Small,YRAW,,,,Rawlinna Airport,-31.000(S),125.317(E),,
Small,YWFD,,,,Western Field Airport,-19.283(S),125.417(E),,
Small,YBYS,,BVZ,,Beverley Springs Airport,-16.733(S),125.433(E),,
Small,YTJI,,,,Tjirrkarli Airport,-26.035(S),125.472(E),,
Small,YCAG,,CGV,,Caiguna Airport,-32.265(S),125.493(E),,
Small,,,CBC,,Cherrabun Airport,-18.918(S),125.538(E),,
Medium,YFTZ,,FIZ,,FITZROY CROSSING,-18.182(S),125.559(E),4265 ft,1
Small,YBGI,,,,Balgair Airport,-31.067(S),125.667(E),,
Small,YMHO,,MHO,,Mount House Airport,-17.055(S),125.710(E),,
Small,YCAJ,,,,Cadjebut Airport,-18.700(S),125.900(E),,
Small,YBAN,,,,Mount Barnet Airport,-16.737(S),125.909(E),,
Small,YADD,,,,Arubiddy Airport,-31.800(S),125.933(E),,
Small,YHAG,,,,Haig Airport,-31.000(S),126.083(E),,
Small,YCKY,,,,Cocklebiddy Airport,-32.050(S),126.092(E),,
Small,YMTZ,,,,Mount Elizabeth Airport,-16.433(S),126.100(E),,
Small,YTTI,,,,Troughton Is Airport,-13.752(S),126.148(E),,
Small,YMNT,,,,Mornington Station Airport,-17.394(S),126.229(E),,
Small,YDGN,,DNG,,Doongan Airport,-15.386(S),126.302(E),,
Small,YDRD,,DRY,,Drysdale River Airport,-15.714(S),126.381(E),,
Small,YGIB,,GBV,,Gibb River Airport,-16.423(S),126.445(E),,
Small,YWBR,,,,WARBURTON,-26.128(S),126.583(E),5216 ft,
