CALENDAR YEAR,AIRPORT NAME,AIRPORT CODE (ICAO),AIRPORT CODE (IATA),"136,000kg","7,000kg to 136,000kg","Under 7,000kg",Helicopter,Unknown Weight,Military,Total,Total Strikes (ATSB),Total Strikes (Avisure),Corrected LA Mvts,HA Mvts excl. Rotary Wing,Corrected RPT Eqv Mvts,Strikes/10000 RPT Eqv (excl. Rotary Wing),10000 Movements,Strikes/10000 Movements,"10,000 RPT's",HA Movements,% HA Movements
2000,ADELAIDE,YPAD,ADL,"2,236","61,866","42,284","4,876",72,"1,220","112,554",30,,2647.2500,65322.0000,67969.25,4.41,11.26,2.67,6.41,"65,322",58%
2000,ALBURY,YMAY,ABX,0,"10,046","23,562",258,62,346,"34,274",4,,1476.5000,10392.0000,11868.50,3.37,3.43,1.17,1.00,"10,392",30%
2000,ALICE SPRINGS,YBAS,ASP,8,"12,316","18,818","1,026",196,364,"32,728",23,,1188.3750,12688.0000,13876.38,16.57,3.27,7.03,1.23,"12,688",39%
2000,ARCHERFIELD,YBAF,no code,0,124,"169,100","12,132",426,900,"182,682",5,,10595.3750,1024.0000,11619.38,4.30,18.27,0.27,0.01,"1,024",1%
2000,BANKSTOWN,YSBK,BWU,2,"1,630","268,586","27,284",694,602,"298,798",2,,16830.0000,2234.0000,19064.00,1.05,29.88,0.07,0.16,"2,234",1%
2000,BRISBANE,YBBN,BNE,"24,970","117,284","24,960",978,402,604,"169,198",46,,1585.1250,142858.0000,144443.13,3.18,16.92,2.72,14.23,"142,858",84%
2000,CAIRNS,YBCS,CNS,"7,892","29,526","61,008","7,580",198,418,"106,622",33,,3825.3750,37836.0000,41661.38,7.92,10.66,3.10,3.74,"37,836",35%
2000,CAMBRIDGE,YCBG,no code,0,0,"26,644","1,340",32,8,"28,024",0,,1667.2500,8.0000,1675.25,0.00,2.80,0.00,0.00,8,0%
2000,CAMDEN,YSCN,CDU,0,238,"79,876","2,718",178,110,"83,120",2,,5003.3750,348.0000,5351.38,3.74,8.31,0.24,0.02,348,0%
2000,CANBERRA,YSCB,CBR,18,"45,436","47,996","7,150",488,"28,282","129,370",21,,3030.2500,73736.0000,76766.25,2.74,12.94,1.62,4.55,"73,736",57%
2000,COFFS HARBOUR,YCFS,CFS,0,"13,438","24,262",766,50,400,"38,916",11,,1519.5000,13838.0000,15357.50,7.16,3.89,2.83,1.34,"13,838",36%
2000,DARWIN,YPDN,DRW,"2,484","21,012","60,202","4,708","1,060","8,330","97,796",30,,3828.8750,31826.0000,35654.88,8.41,9.78,3.07,2.35,"31,826",33%
2000,ESSENDON,YMEN,MEB,0,"2,300","56,164","8,140",158,178,"66,940",2,,3520.1250,2478.0000,5998.13,3.33,6.69,0.30,0.23,"2,478",4%
2000,GOLD COAST,YBCG,OOL,"4,854","15,916","46,724","21,314",148,232,"89,188",11,,2929.5000,21002.0000,23931.50,4.60,8.92,1.23,2.08,"21,002",24%
2000,HAMILTON ISLAND,YBHM,HTI,266,"3,348","13,908","4,114",64,80,"21,780",2,,873.2500,3694.0000,4567.25,4.38,2.18,0.92,0.36,"3,694",17%
2000,HOBART,YMHB,HBA,86,"12,414","2,052",706,50,454,"15,762",5,,131.3750,12954.0000,13085.38,3.82,1.58,3.17,1.25,"12,954",82%
2000,JANDAKOT,YPJT,JAD,0,44,"255,734","9,606",232,84,"265,700",6,,15997.8750,128.0000,16125.88,3.72,26.57,0.23,0.00,128,0%
2000,LAUNCESTON,YMLT,LST,10,"10,932","15,008",184,44,206,"26,384",2,,940.7500,11148.0000,12088.75,1.65,2.64,0.76,1.09,"11,148",42%
2000,MACKAY,YBMK,MKY,0,"10,498","24,974","2,922",32,294,"38,720",4,,1562.8750,10792.0000,12354.88,3.24,3.87,1.03,1.05,"10,792",28%
2000,MELBOURNE,YMML,MEL,"48,088","119,398","6,078",318,242,338,"174,462",41,,395.0000,167824.0000,168219.00,2.44,17.45,2.35,16.75,"167,824",96%
2000,MOORABBIN,YMMB,MBW,0,66,"228,922","27,446",154,56,"256,644",5,,14317.2500,122.0000,14439.25,3.46,25.66,0.19,0.01,122,0%
2000,PARAFIELD,YPPF,no code,0,44,"157,736",408,34,46,"158,268",10,,9860.6250,90.0000,9950.63,10.05,15.83,0.63,0.00,90,0%
2000,PERTH,YPPH,PER,"13,838","55,316","31,922","1,534",150,438,"103,198",27,,2004.5000,69592.0000,71596.50,3.77,10.32,2.62,6.92,"69,592",67%
2000,ROCKHAMPTON,YBRK,ROK,82,"10,450","22,018",982,172,"1,164","34,868",15,,1386.8750,11696.0000,13082.88,11.47,3.49,4.30,1.05,"11,696",34%
2000,SUNSHINE COAST,YBMC,MCY,0,"6,054","36,674","40,540",132,414,"83,814",0,,2300.3750,6468.0000,8768.38,0.00,8.38,0.00,0.61,"6,468",8%
2000,SYDNEY,YSSY,SYD,"85,930","178,822","29,560","12,484",758,788,"308,342",65,,1894.8750,265540.0000,267434.88,2.43,30.83,2.11,26.48,"265,540",86%
2000,TAMWORTH,YSTW,TMW,0,"12,524","104,192",846,216,824,"118,602",2,,6525.5000,13348.0000,19873.50,1.01,11.86,0.17,1.25,"13,348",11%
2000,TOWNSVILLE,YBTL,TSV,56,"24,722","32,842","1,938",278,"9,802","69,638",31,,2070.0000,34580.0000,36650.00,8.46,6.96,4.45,2.48,"34,580",50%
2001,ADELAIDE,YPAD,ADL,"3,226","60,672","41,896","4,504",24,864,"111,186",42,,2620.0000,64762.0000,67382.00,6.23,11.12,3.78,6.39,"64,762",58%
2001,ALBURY,YMAY,ABX,0,"9,636","19,700",310,52,370,"30,068",6,,1234.5000,10006.0000,11240.50,5.34,3.01,2.00,0.96,"10,006",33%
2001,ALICE SPRINGS,YBAS,ASP,2,"10,654","18,182","1,104",288,754,"30,984",34,,1154.3750,11410.0000,12564.38,27.06,3.10,10.97,1.07,"11,410",37%
2001,ARCHERFIELD,YBAF,no code,2,26,"169,148","5,480",244,804,"175,704",1,,10587.0000,832.0000,11419.00,0.88,17.57,0.06,0.00,832,0%
2001,BANKSTOWN,YSBK,BWU,0,"1,230","304,544","24,932",520,194,"331,420",6,,19066.5000,1424.0000,20490.50,2.93,33.14,0.18,0.12,"1,424",0%
