airport_id,name,city,country,iata_faa,iaco,latitude,longitude,altitude,zone,dst
6809,Maitland Airport,Maitland,Australia,MTL,YMND,-32.7033,151.488,75,10,O
6808,Mudgee Airport,Mudgee,Australia,DGE,YMDG,-32.5625,149.611,1545,10,O
6870,Whitsunday Airstrip,Airlie Beach,Australia,WSY,YWHI,-20.276,148.755,60,10,O
6807,Scone Airport,Scone,Australia,NSO,YSCO,-32.0372,150.832,745,10,O
6806,Cessnock Airport,Cessnock,Australia,CES,YCNK,-32.7875,151.342,211,10,O
6860,Bungle Bungle Airport,Bungle Bungle,Australia,,YBUU,-17.5453,128.307,0,9.5,U
6829,Orchid Beach,Fraser Island,Australia,OKB,KOKB,-24.95841,153.3145,6,-10,O
3317,Brisbane Archerfield,Brisbane,Australia,,YBAF,-27.570278,153.008056,63,10,O
3318,Bamaga Injinoo,Amberley,Australia,ABM,YBAM,-10.950833,142.459444,34,10,O
3319,Alice Springs,Alice Springs,Australia,ASP,YBAS,-23.806667,133.902222,1789,9.5,N
3320,Brisbane Intl,Brisbane,Australia,BNE,YBBN,-27.384167,153.1175,13,10,O
3321,Gold Coast,Coolangatta,Australia,OOL,YBCG,-28.164444,153.504722,21,10,N
3322,Cairns Intl,Cairns,Australia,CNS,YBCS,-16.885833,145.755278,10,10,N
3323,Charleville,Charlieville,Australia,CTL,YBCV,-26.413334,146.2625,1003,10,O
3324,Mount Isa,Mount Isa,Australia,ISA,YBMA,-20.663889,139.488611,1121,10,O
3325,Maroochydore Sunshine Coast,Maroochydore,Australia,MCY,YBMC,-26.603333,153.091111,15,10,O
3326,Mackay,Mackay,Australia,MKY,YBMK,-21.171667,149.179722,19,10,O
3328,Proserpine Whitsunday Coast,Prosserpine,Australia,PPP,YBPN,-20.495,148.552222,82,10,O
3329,Rockhampton,Rockhampton,Australia,ROK,YBRK,-23.381944,150.475278,34,10,O
3330,Townsville,Townsville,Australia,TSV,YBTL,-19.2525,146.765278,18,10,N
3331,Weipa,Weipa,Australia,WEI,YBWP,-12.678611,141.925278,63,10,O
3332,Avalon,Avalon,Australia,AVV,YMAV,-38.039444,144.469444,35,10,O
3333,Albury,Albury,Australia,ABX,YMAY,-36.067778,146.958056,539,10,O
3334,Melbourne Essendon,Melbourne,Australia,MEB,YMEN,-37.728056,144.901944,282,10,O
3335,East Sale,East Sale,Australia,,YMES,-38.098889,147.149444,23,10,O
3336,Hobart,Hobart,Australia,HBA,YMHB,-42.836111,147.510278,13,10,O
3337,Launceston,Launceston,Australia,LST,YMLT,-41.545278,147.214167,562,10,O
3338,Melbourne Moorabbin,Melbourne,Australia,MBW,YMMB,-37.975833,145.102222,50,10,O
3339,Melbourne Intl,Melbourne,Australia,MEL,YMML,-37.673333,144.843333,434,10,O
3340,Point Cook,Point Cook,Australia,,YMPC,-37.932222,144.753333,14,10,O
3341,Adelaide Intl,Adelaide,Australia,ADL,YPAD,-34.945,138.530556,20,9.5,O
3343,Edinburgh,Edinburgh,Australia,,YPED,-34.7025,138.620833,67,9.5,O
3344,Perth Jandakot,Perth,Australia,JAD,YPJT,-32.0975,115.881111,99,8,O
3345,Karratha,Karratha,Australia,KTA,YPKA,-20.712222,116.773333,29,8,O
3346,Kalgoorlie Boulder,Kalgoorlie,Australia,KGI,YPKG,-30.789444,121.461667,1203,8,O
3347,Kununurra,Kununurra,Australia,KNX,YPKU,-15.778056,128.7075,145,8,O
3348,Learmonth,Learmonth,Australia,LEA,YPLM,-22.235556,114.088611,19,8,O
3349,Port Hedland Intl,Port Hedland,Australia,PHE,YPPD,-20.377778,118.626389,33,8,O
3350,Adelaide Parafield,Adelaide,Australia,,YPPF,-34.793333,138.633056,57,9.5,O
3351,Perth Intl,Perth,Australia,PER,YPPH,-31.940278,115.966944,67,8,N
3352,Woomera,Woomera,Australia,UMR,YPWR,-31.144167,136.816944,548,9.5,O
3354,Sydney Bankstown,Sydney,Australia,BWU,YSBK,-33.924444,150.988333,29,10,O
