"","iaco","Year","Airport.x","iata_faa.x","Total.Flights","Strikes.ATSB","Strikes.Avisure","Strikes","name","Airport.y","country","iata_faa.y","latitude","longitude","Kind","Strikes.per.10000Flights"
"17","YBAS",2008,"Alice Springs","ASP",26188,6,NA,6,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",2.29112570643043
"18","YBAS",2011,"Alice Springs","ASP",27414,40,NA,40,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",14.5910848471584
"19","YBAS",2004,"Alice Springs","ASP",22288,11,NA,11,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",4.9353912419239
"20","YBAS",2001,"Alice Springs","ASP",30984,34,NA,34,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",10.9734056287116
"21","YBAS",2007,"Alice Springs","ASP",23732,15,NA,15,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",6.32057980785437
"22","YBAS",2010,"Alice Springs","ASP",24050,55,NA,55,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",22.8690228690229
"23","YBAS",2002,"Alice Springs","ASP",25672,26,NA,26,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",10.1277656590838
"24","YBAS",2009,"Alice Springs","ASP",22570,14,NA,14,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",6.20292423571112
"25","YBAS",2003,"Alice Springs","ASP",26012,11,NA,11,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",4.22881746886053
"26","YBAS",2000,"Alice Springs","ASP",32728,23,NA,23,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",7.0276216084087
"27","YBAS",2006,"Alice Springs","ASP",23414,14,NA,14,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",5.97932860681643
"28","YBAS",2005,"Alice Springs","ASP",21060,12,NA,12,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",5.6980056980057
"29","YBAS",2015,"Alice Springs","ASP",24120,10,NA,10,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",4.14593698175788
"30","YBAS",2013,"Alice Springs","ASP",24210,8,NA,8,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",3.30441966129698
"31","YBAS",2012,"Alice Springs","ASP",23642,10,NA,10,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",4.22976059555029
"32","YBAS",2014,"Alice Springs","ASP",25694,11,NA,11,"Alice Springs","Alice Springs","Australia","ASP",-23.806667,133.902222,"Medium",4.2811551334942
"81","YBHM",2002,"Hamilton Island","HTI",15712,2,NA,2,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",1.27291242362525
"82","YBHM",2008,"Hamilton Island","HTI",12134,6,NA,6,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",4.94478325366738
"83","YBHM",2012,"Hamilton Island","HTI",11576,2,NA,2,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",1.72771250863856
"84","YBHM",2015,"Hamilton Island","HTI",10444,3,NA,3,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",2.87246265798545
"85","YBHM",2006,"Hamilton Island","HTI",16160,10,NA,10,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",6.18811881188119
"86","YBHM",2005,"Hamilton Island","HTI",14960,9,NA,9,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",6.01604278074866
"87","YBHM",2013,"Hamilton Island","HTI",9366,6,NA,6,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",6.40614990390775
"88","YBHM",2011,"Hamilton Island","HTI",11970,7,NA,7,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",5.84795321637427
"89","YBHM",2004,"Hamilton Island","HTI",13500,5,NA,5,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",3.7037037037037
"90","YBHM",2003,"Hamilton Island","HTI",14236,2,NA,2,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",1.40488901376791
"91","YBHM",2007,"Hamilton Island","HTI",16536,10,NA,10,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",6.04741170778907
"92","YBHM",2010,"Hamilton Island","HTI",10320,6,NA,6,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",5.81395348837209
"93","YBHM",2009,"Hamilton Island","HTI",10842,5,NA,5,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",4.61169525917727
"94","YBHM",2000,"Hamilton Island","HTI",21780,2,NA,2,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",0.918273645546373
"95","YBHM",2014,"Hamilton Island","HTI",10378,1,NA,1,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",0.963576797070727
"96","YBHM",2001,"Hamilton Island","HTI",15950,6,NA,6,"Hamilton Island Airport","","Australia","HTI",-20.3581,148.952,"Medium",3.76175548589342
"114","YBMK",2012,"Mackay","MKY",42898,20,NA,20,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",4.66222201501236
"115","YBMK",2013,"Mackay","MKY",41550,20,NA,20,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",4.81347773766546
"118","YBMK",2002,"Mackay","MKY",37316,14,NA,14,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",3.75174188015865
"119","YBMK",2015,"Mackay","MKY",32122,17,NA,17,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",5.292323018492
"121","YBMK",2000,"Mackay","MKY",38720,4,NA,4,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",1.03305785123967
"122","YBMK",2011,"Mackay","MKY",45576,21,NA,21,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",4.60768825697736
"123","YBMK",2008,"Mackay","MKY",49732,12,NA,12,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",2.41293332260918
"124","YBMK",2014,"Mackay","MKY",37708,24,NA,24,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",6.36469714649411
"125","YBMK",2001,"Mackay","MKY",36506,13,NA,13,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",3.5610584561442
"127","YBMK",2004,"Mackay","MKY",45194,31,NA,31,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",6.85931760853211
"128","YBMK",2003,"Mackay","MKY",37902,8,NA,8,"Mackay","Mackay","Australia","MKY",-21.171667,149.179722,"Medium",2.11070655902063
